sample_id,model,winner_main,lang_code,winner_minimal,prompt_consistent
par3_hum_gt_de_0006,deepseek/deepseek-v3.2,B,de,B,1
par3_hum_gt_de_0008,deepseek/deepseek-v3.2,A,de,A,1
par3_hum_gt_de_0011,deepseek/deepseek-v3.2,B,de,B,1
par3_hum_gt_de_0012,deepseek/deepseek-v3.2,B,de,B,1
par3_hum_gt_de_0015,deepseek/deepseek-v3.2,A,de,A,1
par3_hum_gt_de_0016,deepseek/deepseek-v3.2,A,de,A,1
par3_hum_gt_de_0018,deepseek/deepseek-v3.2,A,de,A,1
par3_hum_gt_de_0019,deepseek/deepseek-v3.2,A,de,A,1
par3_hum_gt_de_0022,deepseek/deepseek-v3.2,A,de,A,1
par3_hum_gt_de_0024,deepseek/deepseek-v3.2,A,de,A,1
par3_hum_gt_de_0029,deepseek/deepseek-v3.2,A,de,A,1
par3_hum_gt_de_0030,deepseek/deepseek-v3.2,A,de,A,1
par3_hum_gt_de_0031,deepseek/deepseek-v3.2,A,de,A,1
par3_hum_gt_de_0034,deepseek/deepseek-v3.2,A,de,A,1
par3_hum_gt_de_0037,deepseek/deepseek-v3.2,B,de,B,1
par3_hum_gt_de_0039,deepseek/deepseek-v3.2,B,de,B,1
par3_hum_gt_de_0040,deepseek/deepseek-v3.2,A,de,A,1
par3_hum_gt_de_0045,deepseek/deepseek-v3.2,A,de,B,0
par3_hum_gt_de_0046,deepseek/deepseek-v3.2,B,de,B,1
par3_hum_gt_fr_0139,deepseek/deepseek-v3.2,A,fr,A,1
par3_hum_gt_fr_0145,deepseek/deepseek-v3.2,A,fr,A,1
par3_hum_gt_fr_0149,deepseek/deepseek-v3.2,A,fr,A,1
par3_hum_gt_fr_0150,deepseek/deepseek-v3.2,B,fr,B,1
par3_hum_gt_fr_0153,deepseek/deepseek-v3.2,B,fr,B,1
par3_hum_gt_fr_0154,deepseek/deepseek-v3.2,A,fr,A,1
par3_hum_gt_fr_0156,deepseek/deepseek-v3.2,A,fr,A,1
par3_hum_gt_fr_0157,deepseek/deepseek-v3.2,A,fr,A,1
par3_hum_gt_fr_0158,deepseek/deepseek-v3.2,A,fr,A,1
par3_hum_gt_fr_0161,deepseek/deepseek-v3.2,B,fr,B,1
par3_hum_gt_fr_0166,deepseek/deepseek-v3.2,B,fr,B,1
par3_hum_gt_fr_0169,deepseek/deepseek-v3.2,A,fr,A,1
par3_hum_gt_fr_0171,deepseek/deepseek-v3.2,A,fr,A,1
par3_hum_gt_fr_0172,deepseek/deepseek-v3.2,B,fr,B,1
par3_hum_gt_fr_0174,deepseek/deepseek-v3.2,A,fr,A,1
par3_hum_gt_fr_0178,deepseek/deepseek-v3.2,B,fr,B,1
par3_hum_gt_ru_0257,deepseek/deepseek-v3.2,B,ru,B,1
par3_hum_gt_ru_0259,deepseek/deepseek-v3.2,B,ru,B,1
par3_hum_gt_ru_0261,deepseek/deepseek-v3.2,B,ru,B,1
par3_hum_gt_ru_0266,deepseek/deepseek-v3.2,B,ru,B,1
par3_hum_gt_ru_0269,deepseek/deepseek-v3.2,B,ru,B,1
par3_hum_gt_ru_0270,deepseek/deepseek-v3.2,A,ru,A,1
par3_hum_gt_ru_0273,deepseek/deepseek-v3.2,B,ru,B,1
par3_hum_gt_ru_0274,deepseek/deepseek-v3.2,B,ru,B,1
par3_hum_gt_ru_0276,deepseek/deepseek-v3.2,B,ru,B,1
par3_hum_gt_ru_0278,deepseek/deepseek-v3.2,B,ru,B,1
